loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5539390673129472,4.2862958908081055,1.5007949125596187e-05,1.0,629,,,,,,,,,,,,,,,,
,,,1.0,629,0.26302120089530945,0.9041630529054641,0.830935583644267,0.874728472774588,0.8401203144733295,0.9306749357340539,0.9041630529054641,0.9142284599818191,386.0093,5.974,0.189,,,,,
0.3764124689875422,16.753957748413086,1.0007949125596186e-05,2.0,1258,,,,,,,,,,,,,,,,
,,,2.0,1258,0.26957687735557556,0.9327840416305291,0.8633283184899717,0.8609499734864435,0.8620886078052769,0.932219875896108,0.9327840416305291,0.9324884803790937,387.6195,5.949,0.188,,,,,
0.3053218920393854,1.3362131118774414,5.007949125596184e-06,3.0,1887,,,,,,,,,,,,,,,,
,,,3.0,1887,0.2870441675186157,0.9245446660884649,0.8442710737049322,0.8585530170867617,0.8508827449011205,0.92807650289468,0.9245446660884649,0.9258146962845147,366.4557,6.293,0.199,,,,,
0.2508261336431215,2.336467742919922,7.94912559618442e-09,4.0,2516,,,,,,,,,,,,,,,,
,,,4.0,2516,0.354887992143631,0.9314830875975716,0.8664895586039874,0.8384059030539607,0.8464608254723662,0.9277679411952686,0.9314830875975716,0.9281371164250609,336.2035,6.859,0.217,,,,,
,,,4.0,2516,,,,,,,,,,,,35328.3679,1.139,0.071,2641301136048960.0,0.3716248904957491
,,,4.0,2516,0.26957687735557556,0.9327840416305291,0.8633283184899717,0.8609499734864435,0.8620886078052769,0.932219875896108,0.9327840416305291,0.9324884803790937,336.8619,6.846,0.217,,,,,
